Sample ID	Diversity	DiversityID	Pert1	Pert2 	Temp	pH	Phylogenetic Resolution
2H-A-DNA_Reads_non_singletons_gap	3.081	Total	Temp	Maintained	6	25	100
3H-A-DNA_Reads_non_singletons_gap	3.181	Total	Temp	Maintained	6	25	100
4H-A-DNA_Reads_non_singletons_gap	3.154	Total	Temp	Maintained	6	25	100
5H-A-DNA_Reads_non_singletons_gap	3.824	Total	Temp	Maintained	4.5	25	100
6H-A-DNA_Reads_non_singletons_gap	3.891	Total	Temp	Maintained	4.5	25	100
7H-A-DNA_Reads_non_singletons_gap	3.888	Total	Temp	Maintained	4.5	25	100
9H-A-DNA_Reads_non_singletons_gap	3.863	Total	Temp	Maintained	7.5	25	100
10H-A-DNA_Reads_non_singletons_gap	3.951	Total	Temp	Maintained	7.5	25	100
11H-A-DNA_Reads_non_singletons_gap	4.159	Total	Temp	Maintained	7.5	25	100
13H-A-DNA_Reads_non_singletons_gap	3.177	Total	Temp	Perturbed	6	15	100
14H-A-DNA_Reads_non_singletons_gap	3.138	Total	Temp	Perturbed	6	15	100
15H-A-DNA_Reads_non_singletons_gap	3.225	Total	Temp	Perturbed	6	15	100
17H-A-DNA_Reads_non_singletons_gap	3.840	Total	Temp	Perturbed	4.5	15	100
18H-A-DNA_Reads_non_singletons_gap	3.988	Total	Temp	Perturbed	4.5	15	100
19H-A-DNA_Reads_non_singletons_gap	3.847	Total	Temp	Perturbed	4.5	15	100
21H-A-DNA_Reads_non_singletons_gap	4.782	Total	Temp	Perturbed	7.5	15	100
22H-A-DNA_Reads_non_singletons_gap	3.840	Total	Temp	Perturbed	7.5	15	100
23H-A-DNA_Reads_non_singletons_gap	3.836	Total	Temp	Perturbed	7.5	15	100
NBAF33-A33_Reads_non_singletons_gap	n/a	Total	Temp	Perturbed	7.5	15	100
26H-A-DNA_Reads_non_singletons_gap	3.005	Total	Temp	Perturbed	6	35	100
27H-A-DNA_Reads_non_singletons_gap	3.173	Total	Temp	Perturbed	6	35	100
28H-A-DNA_Reads_non_singletons_gap	3.308	Total	Temp	Perturbed	6	35	100
29H-A-DNA_Reads_non_singletons_gap	2.849	Total	Temp	Perturbed	4.5	35	100
30H-A-DNA_Reads_non_singletons_gap	2.740	Total	Temp	Perturbed	4.5	35	100
31H-A-DNA_Reads_non_singletons_gap	2.745	Total	Temp	Perturbed	4.5	35	100
33H-A-DNA_Reads_non_singletons_gap	3.197	Total	Temp	Perturbed	7.5	35	100
34H-A-DNA_Reads_non_singletons_gap	3.333	Total	Temp	Perturbed	7.5	35	100
35H-A-DNA_Reads_non_singletons_gap	3.372	Total	Temp	Perturbed	7.5	35	100
AOA68_Reads_non_singletons_gap	n/a	Total	Temp	Perturbed	7.5	35	100
37H-A-DNA_Reads_non_singletons_gap	3.153	Total	pH	Maintained	6	25	100
38H-A-DNA_Reads_non_singletons_gap	3.180	Total	pH	Maintained	6	25	100
39H-A-DNA_Reads_non_singletons_gap	3.155	Total	pH	Maintained	6	25	100
41H-A-DNA_Reads_non_singletons_gap	3.388	Total	pH	Maintained	6	15	100
42H-A-DNA_Reads_non_singletons_gap	3.458	Total	pH	Maintained	6	15	100
43H-A-DNA_Reads_non_singletons_gap	3.421	Total	pH	Maintained	6	15	100
AOA84_Reads_non_singletons_gap	n/a	Total	pH	Maintained	6	15	100
45H-A-DNA_Reads_non_singletons_gap	2.739	Total	pH	Maintained	6	35	100
46H-A-DNA_Reads_non_singletons_gap	2.568	Total	pH	Maintained	6	35	100
47H-A-DNA_Reads_non_singletons_gap	2.333	Total	pH	Maintained	6	35	100
NBAF45-A45_Reads_non_singletons_gap	n/a	Total	pH	Maintained	6	35	100
49H-A-DNA_Reads_non_singletons_gap	2.591	Total	pH	Perturbed	4.5	25	100
50H-A-DNA_Reads_non_singletons_gap	2.875	Total	pH	Perturbed	4.5	25	100
51H-A-DNA_Reads_non_singletons_gap	2.181	Total	pH	Perturbed	4.5	25	100
AOA100_Reads_non_singletons_gap	n/a	Total	pH	Perturbed	4.5	25	100
53H-A-DNA_Reads_non_singletons_gap	2.953	Total	pH	Perturbed	4.5	15	100
54H-A-DNA_Reads_non_singletons_gap	2.804	Total	pH	Perturbed	4.5	15	100
55H-A-DNA_Reads_non_singletons_gap	2.929	Total	pH	Perturbed	4.5	15	100
57H-A-DNA_Reads_non_singletons_gap	2.680	Total	pH	Perturbed	4.5	35	100
58H-A-DNA_Reads_non_singletons_gap	2.633	Total	pH	Perturbed	4.5	35	100
59H-A-DNA_Reads_non_singletons_gap	2.673	Total	pH	Perturbed	4.5	35	100
NBAF71-A73_reads_without_singletons_id_1	n/a	Total	pH	Perturbed	7.5	25	100
63H-A-DNA_Reads_non_singletons_gap	2.767	Total	pH	Perturbed	7.5	25	100
64H-A-DNA_Reads_non_singletons_gap	2.811	Total	pH	Perturbed	7.5	25	100
65H-A-DNA_Reads_non_singletons_gap	3.281	Total	pH	Perturbed	7.5	15	100
66H-A-DNA_Reads_non_singletons_gap	3.314	Total	pH	Perturbed	7.5	15	100
67H-A-DNA_Reads_non_singletons_gap	3.235	Total	pH	Perturbed	7.5	15	100
69H-A-DNA_Reads_non_singletons_gap	2.860	Total	pH	Perturbed	7.5	35	100
70H-A-DNA_Reads_non_singletons_gap	2.705	Total	pH	Perturbed	7.5	35	100
71H-A-DNA_Reads_non_singletons_gap	2.755	Total	pH	Perturbed	7.5	35	100
AOA140_Reads_non_singletons_gap	n/a	Total	pH	Perturbed	7.5	35	100
2H-A-DNA_Reads_non_singletons_gap	3.558	Active	Temp	Maintained	6	25	100
3H-A-DNA_Reads_non_singletons_gap	3.305	Active	Temp	Maintained	6	25	100
4H-A-DNA_Reads_non_singletons_gap	3.174	Active	Temp	Maintained	6	25	100
5H-A-DNA_Reads_non_singletons_gap	4.165	Active	Temp	Maintained	4.5	25	100
6H-A-DNA_Reads_non_singletons_gap	4.089	Active	Temp	Maintained	4.5	25	100
