SampleID	Diversity	DiversityID	Pert1	Pert2	Temp	pH	Phylogenetic.Resolution
2H-A-DNA_Reads_non_singletons_gap	3.081008014	Total	Temp	Maintained	25	6	100
3H-A-DNA_Reads_non_singletons_gap	3.180693988	Total	Temp	Maintained	25	6	100
4H-A-DNA_Reads_non_singletons_gap	3.154265561	Total	Temp	Maintained	25	6	100
5H-A-DNA_Reads_non_singletons_gap	3.824345955	Total	Temp	Maintained	25	4.5	100
6H-A-DNA_Reads_non_singletons_gap	3.890552899	Total	Temp	Maintained	25	4.5	100
7H-A-DNA_Reads_non_singletons_gap	3.887765651	Total	Temp	Maintained	25	4.5	100
9H-A-DNA_Reads_non_singletons_gap	3.862735626	Total	Temp	Maintained	25	7.5	100
10H-A-DNA_Reads_non_singletons_gap	3.951073234	Total	Temp	Maintained	25	7.5	100
11H-A-DNA_Reads_non_singletons_gap	4.158720211	Total	Temp	Maintained	25	7.5	100
13H-A-DNA_Reads_non_singletons_gap	3.176819598	Total	Temp	Perturbed	15	6	100
14H-A-DNA_Reads_non_singletons_gap	3.137524197	Total	Temp	Perturbed	15	6	100
15H-A-DNA_Reads_non_singletons_gap	3.225428129	Total	Temp	Perturbed	15	6	100
17H-A-DNA_Reads_non_singletons_gap	3.840060257	Total	Temp	Perturbed	15	4.5	100
18H-A-DNA_Reads_non_singletons_gap	3.988297084	Total	Temp	Perturbed	15	4.5	100
19H-A-DNA_Reads_non_singletons_gap	3.84729928	Total	Temp	Perturbed	15	4.5	100
21H-A-DNA_Reads_non_singletons_gap	4.78179872	Total	Temp	Perturbed	15	7.5	100
22H-A-DNA_Reads_non_singletons_gap	3.840331585	Total	Temp	Perturbed	15	7.5	100
23H-A-DNA_Reads_non_singletons_gap	3.836364068	Total	Temp	Perturbed	15	7.5	100
26H-A-DNA_Reads_non_singletons_gap	3.005194557	Total	Temp	Perturbed	35	6	100
27H-A-DNA_Reads_non_singletons_gap	3.172920647	Total	Temp	Perturbed	35	6	100
28H-A-DNA_Reads_non_singletons_gap	3.308049829	Total	Temp	Perturbed	35	6	100
29H-A-DNA_Reads_non_singletons_gap	2.848852871	Total	Temp	Perturbed	35	4.5	100
30H-A-DNA_Reads_non_singletons_gap	2.740334147	Total	Temp	Perturbed	35	4.5	100
