Sample	Type	Pert1	Pert2	pH	Temp	
2H-A-DNA_Reads_non_singletons_gap	DNA	Temp	Maintained	6	25	
3H-A-DNA_Reads_non_singletons_gap	DNA	Temp	Maintained	6	25	
4H-A-DNA_Reads_non_singletons_gap	DNA	Temp	Maintained	6	25	
5H-A-DNA_Reads_non_singletons_gap	DNA	Temp	Maintained	4.5	25	
6H-A-DNA_Reads_non_singletons_gap	DNA	Temp	Maintained	4.5	25	
7H-A-DNA_Reads_non_singletons_gap	DNA	Temp	Maintained	4.5	25	
9H-A-DNA_Reads_non_singletons_gap	DNA	Temp	Maintained	7.5	25	
10H-A-DNA_Reads_non_singletons_gap	DNA	Temp	Maintained	7.5	25	
11H-A-DNA_Reads_non_singletons_gap	DNA	Temp	Maintained	7.5	25	
13H-A-DNA_Reads_non_singletons_gap	DNA	Temp	Decreasing	6	15	
14H-A-DNA_Reads_non_singletons_gap	DNA	Temp	Decreasing	6	15	
15H-A-DNA_Reads_non_singletons_gap	DNA	Temp	Decreasing	6	15	
17H-A-DNA_Reads_non_singletons_gap	DNA	Temp	Decreasing	4.5	15	
18H-A-DNA_Reads_non_singletons_gap	DNA	Temp	Decreasing	4.5	15	
19H-A-DNA_Reads_non_singletons_gap	DNA	Temp	Decreasing	4.5	15	
21H-A-DNA_Reads_non_singletons_gap	DNA	Temp	Decreasing	7.5	15	
22H-A-DNA_Reads_non_singletons_gap	DNA	Temp	Decreasing	7.5	15	
23H-A-DNA_Reads_non_singletons_gap	DNA	Temp	Decreasing	7.5	15	
26H-A-DNA_Reads_non_singletons_gap	DNA	Temp	Increasing	6	35	
27H-A-DNA_Reads_non_singletons_gap	DNA	Temp	Increasing	6	35	
28H-A-DNA_Reads_non_singletons_gap	DNA	Temp	Increasing	6	35	
29H-A-DNA_Reads_non_singletons_gap	DNA	Temp	Increasing	4.5	35	
30H-A-DNA_Reads_non_singletons_gap	DNA	Temp	Increasing	4.5	35	
31H-A-DNA_Reads_non_singletons_gap	DNA	Temp	Increasing	4.5	35	
33H-A-DNA_Reads_non_singletons_gap	DNA	Temp	Increasing	7.5	35	
34H-A-DNA_Reads_non_singletons_gap	DNA	Temp	Increasing	7.5	35	
35H-A-DNA_Reads_non_singletons_gap	DNA	Temp	Increasing	7.5	35	
37H-A-DNA_Reads_non_singletons_gap	DNA	pH	Maintained	6	25	
38H-A-DNA_Reads_non_singletons_gap	DNA	pH	Maintained	6	25	
39H-A-DNA_Reads_non_singletons_gap	DNA	pH	Maintained	6	25	
41H-A-DNA_Reads_non_singletons_gap	DNA	pH	Maintained	6	15	
42H-A-DNA_Reads_non_singletons_gap	DNA	pH	Maintained	6	15	
43H-A-DNA_Reads_non_singletons_gap	DNA	pH	Maintained	6	15	
45H-A-DNA_Reads_non_singletons_gap	DNA	pH	Maintained	6	35	
46H-A-DNA_Reads_non_singletons_gap	DNA	pH	Maintained	6	35	
47H-A-DNA_Reads_non_singletons_gap	DNA	pH	Maintained	6	35	
49H-A-DNA_Reads_non_singletons_gap	DNA	pH	Decreasing	4.5	25	
50H-A-DNA_Reads_non_singletons_gap	DNA	pH	Decreasing	4.5	25	
51H-A-DNA_Reads_non_singletons_gap	DNA	pH	Decreasing	4.5	25	
53H-A-DNA_Reads_non_singletons_gap	DNA	pH	Decreasing	4.5	15	
54H-A-DNA_Reads_non_singletons_gap	DNA	pH	Decreasing	4.5	15	
55H-A-DNA_Reads_non_singletons_gap	DNA	pH	Decreasing	4.5	15	
57H-A-DNA_Reads_non_singletons_gap	DNA	pH	Decreasing	4.5	35	
58H-A-DNA_Reads_non_singletons_gap	DNA	pH	Decreasing	4.5	35	
59H-A-DNA_Reads_non_singletons_gap	DNA	pH	Decreasing	4.5	35	
62H-A-DNA_Reads_non_singletons_gap	DNA	pH	Increasing	7.5	25	
63H-A-DNA_Reads_non_singletons_gap	DNA	pH	Increasing	7.5	25	
64H-A-DNA_Reads_non_singletons_gap	DNA	pH	Increasing	7.5	25	
65H-A-DNA_Reads_non_singletons_gap	DNA	pH	Increasing	7.5	15	
66H-A-DNA_Reads_non_singletons_gap	DNA	pH	Increasing	7.5	15	
67H-A-DNA_Reads_non_singletons_gap	DNA	pH	Increasing	7.5	15	
69H-A-DNA_Reads_non_singletons_gap	DNA	pH	Increasing	7.5	35	
70H-A-DNA_Reads_non_singletons_gap	DNA	pH	Increasing	7.5	35	
71H-A-DNA_Reads_non_singletons_gap	DNA	pH	Increasing	7.5	35	
AOA65_Reads_non_singletons_gap	SIP	Temp	Increasing	7.5	35	
AOA66_Reads_non_singletons_gap	SIP	Temp	Increasing	7.5	35	
AOA68_Reads_non_singletons_gap	SIP	Temp	Increasing	7.5	35	
AOA73_Reads_non_singletons_gap	SIP	pH	Maintained	6	25	
AOA74_Reads_non_singletons_gap	SIP	pH	Maintained	6	25	
AOA76_Reads_non_singletons_gap	SIP	pH	Maintained	6	25	
AOA81_Reads_non_singletons_gap	SIP	pH	Maintained	6	15	
AOA83_Reads_non_singletons_gap	SIP	pH	Maintained	6	15	
AOA84_Reads_non_singletons_gap	SIP	pH	Maintained	6	15	
AOA97_Reads_non_singletons_gap	SIP	pH	Decreasing	4.5	25	
AOA99_Reads_non_singletons_gap	SIP	pH	Decreasing	4.5	25	
AOA100_Reads_non_singletons_gap	SIP	pH	Decreasing	4.5	25	
AOA123_Reads_non_singletons_gap	SIP	pH	Increasing	7.5	25	
AOA138_Reads_non_singletons_gap	SIP	pH	Increasing	7.5	35	
AOA139_Reads_non_singletons_gap	SIP	pH	Increasing	7.5	35	
AOA140_Reads_non_singletons_gap	SIP	pH	Increasing	7.5	35	
Macrogen_AOA_17	SIP	Temp	Maintained	7.5	25	
NBAF01-A1_Reads_non_singletons_gap	SIP	Temp	Maintained	6	25	
NBAF02-A2_Reads_non_singletons_gap	SIP	Temp	Maintained	6	25	
NBAF03-A3_Reads_non_singletons_gap	SIP	Temp	Maintained	6	25	
NBAF07-A7_Reads_non_singletons_gap	SIP	Temp	Maintained	4.5	25	
NBAF08-A8_Reads_non_singletons_gap	SIP	Temp	Maintained	4.5	25	
NBAF09-A9_Reads_non_singletons_gap	SIP	Temp	Maintained	4.5	25	
NBAF13-A13_Reads_non_singletons_gap	SIP	Temp	Decreasing	6	15	
NBAF14-A14_Reads_non_singletons_gap	SIP	Temp	Decreasing	6	15	
NBAF15-A15_Reads_non_singletons_gap	SIP	Temp	Decreasing	6	15	
NBAF19-A19_Reads_non_singletons_gap	SIP	Temp	Increasing	6	35	
NBAF20-A20_Reads_non_singletons_gap	SIP	Temp	Increasing	6	35	
NBAF21-A21_Reads_non_singletons_gap	SIP	Temp	Increasing	6	35	
NBAF26-A26_Reads_non_singletons_gap	SIP	Temp	Maintained	7.5	25	
NBAF27-A27_Reads_non_singletons_gap	SIP	Temp	Maintained	7.5	25	
NBAF31-A31_Reads_non_singletons_gap	SIP	Temp	Decreasing	7.5	15	
NBAF32-A32_Reads_non_singletons_gap	SIP	Temp	Decreasing	7.5	15	
NBAF33-A33_Reads_non_singletons_gap	SIP	Temp	Decreasing	7.5	15	
NBAF43-A43_Reads_non_singletons_gap	SIP	ph	Maintained	6	35	
NBAF44-A44_Reads_non_singletons_gap	SIP	pH	Maintained	6	35	
NBAF45-A45_Reads_non_singletons_gap	SIP	pH	Maintained	6	35	
NBAF71-A73_reads_without_singletons_id_1	SIP	pH	Increasing	7.5	25	
NBAF72-A74_reads_without_singletons_id_1	SIP	pH	Increasing	7.5	25	
